困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.483,127.373,231.72,315.804,73.353,231.702,315.782,73.335,"30200",Yuseong-gu,蜡己备
36.483,127.392,228.587,311.735,72.467,228.562,311.735,72.442,"30200",Yuseong-gu,蜡己备
36.467,127.372,227.152,310.102,71.774,227.137,310.102,71.758,"30200",Yuseong-gu,蜡己备
36.467,127.392,227.731,310.388,72.013,227.698,310.364,71.981,"30200",Yuseong-gu,蜡己备
36.467,127.468,228.89,313.532,71.42,228.836,313.532,71.366,"30230",Daedeok-gu,措傣备
36.452,127.372,228.106,312.055,72.311,228.078,312.019,72.284,"30200",Yuseong-gu,蜡己备
36.452,127.391,228.214,311.613,72.063,228.106,309.921,72.021,"30200",Yuseong-gu,蜡己备
36.452,127.41,227.374,310.312,71.664,227.34,310.208,71.632,"30230",Daedeok-gu,措傣备
36.452,127.429,228.66,311.007,72.034,228.628,310.983,72.001,"30230",Daedeok-gu,措傣备
36.451,127.467,228.811,312.478,71.247,228.787,312.478,71.222,"30230",Daedeok-gu,措傣备
36.451,127.487,226.664,310.366,70.436,226.633,310.366,70.405,"30230",Daedeok-gu,措傣备
36.437,127.353,231.37,314.126,73.571,231.344,314.126,73.545,"30200",Yuseong-gu,蜡己备
36.437,127.372,231.238,315.785,73.493,231.11,314.054,73.433,"30200",Yuseong-gu,蜡己备
36.437,127.391,228.389,311.516,72.039,228.263,309.807,71.979,"30200",Yuseong-gu,蜡己备
36.436,127.41,226.466,309.359,71.459,226.433,309.327,71.427,"30230",Daedeok-gu,措傣备
36.436,127.429,227.24,308.926,71.636,227.209,308.926,71.605,"30230",Daedeok-gu,措傣备
36.436,127.448,226.721,308.255,71.028,226.7,308.255,71.007,"30230",Daedeok-gu,措傣备
36.436,127.467,227.36,309.84,70.814,227.341,309.84,70.795,"30230",Daedeok-gu,措傣备
36.436,127.486,225.441,307.405,70.173,225.418,307.405,70.15,"30110",Dong-gu,悼备
36.422,127.296,226.146,307.034,71.781,226.084,307.034,71.719,"30200",Yuseong-gu,蜡己备
36.422,127.315,230.791,312.558,73.229,230.762,312.558,73.2,"30200",Yuseong-gu,蜡己备
36.422,127.334,232.238,314.839,73.776,232.214,314.839,73.751,"30200",Yuseong-gu,蜡己备
36.422,127.353,232.483,315.599,73.627,232.43,315.576,73.575,"30200",Yuseong-gu,蜡己备
36.421,127.372,231.133,315.657,73.359,231.002,313.976,73.295,"30200",Yuseong-gu,蜡己备
36.421,127.391,229.449,312.792,72.352,229.394,312.763,72.298,"30200",Yuseong-gu,蜡己备
36.421,127.41,229.002,312.303,72.16,228.957,312.275,72.115,"30200",Yuseong-gu,蜡己备
36.421,127.429,229.129,311.216,71.952,229.076,311.192,71.9,"30230",Daedeok-gu,措傣备
36.421,127.448,229.731,311.877,72.013,229.703,311.877,71.985,"30230",Daedeok-gu,措傣备
36.421,127.467,228.602,310.814,71.285,228.578,310.757,71.261,"30230",Daedeok-gu,措傣备
36.42,127.486,225.742,306.485,70.249,225.721,306.485,70.228,"30110",Dong-gu,悼备
36.42,127.524,224.552,309.494,68.412,224.527,309.494,68.387,"30110",Dong-gu,悼备
36.407,127.296,230.244,311.278,73.217,230.186,311.251,73.16,"30200",Yuseong-gu,蜡己备
36.406,127.315,233.683,316.142,74.318,233.586,314.581,74.281,"30200",Yuseong-gu,蜡己备
36.406,127.334,233.333,315.355,74.225,233.23,314.433,74.155,"30200",Yuseong-gu,蜡己备
36.406,127.353,229.816,312.003,72.708,229.729,311.799,72.627,"30200",Yuseong-gu,蜡己备
36.406,127.372,230.471,314.321,73.282,230.44,314.294,73.252,"30200",Yuseong-gu,蜡己备
36.406,127.391,230.212,311.405,72.755,230.169,311.38,72.713,"30200",Yuseong-gu,蜡己备
36.406,127.41,229.088,312.357,72.38,229.03,312.327,72.324,"30200",Yuseong-gu,蜡己备
36.406,127.429,229.824,311.196,72.255,229.728,311.172,72.159,"30230",Daedeok-gu,措傣备
36.405,127.448,231.721,313.904,72.842,231.69,313.904,72.81,"30230",Daedeok-gu,措傣备
36.405,127.467,230.768,312.99,72.767,230.727,312.909,72.728,"30110",Dong-gu,悼备
36.405,127.486,226.763,308.121,70.621,226.725,307.958,70.588,"30110",Dong-gu,悼备
36.405,127.505,224.351,308.933,68.461,224.208,306.863,68.4,"30110",Dong-gu,悼备
36.405,127.524,227.706,313.597,69.362,227.668,313.514,69.325,"30110",Dong-gu,悼备
36.404,127.543,227.925,314.718,69.574,227.896,314.718,69.545,"30110",Dong-gu,悼备
36.391,127.296,233.595,316.078,74.523,233.222,311.537,74.428,"30200",Yuseong-gu,蜡己备
36.391,127.315,231.025,313.182,73.6,230.869,311.272,73.524,"30200",Yuseong-gu,蜡己备
36.391,127.334,228.153,309.364,72.186,228.051,307.794,72.144,"30200",Yuseong-gu,蜡己备
