,year,month,day,avg_temp,high_temp,low_temp,avg_cloud,daily_rain
0,2017,1,1,.5,0.7,1.3,.4,
1,2017,1,2,.7,0.8,0.4,.5,
2,2017,1,3,.3,.2,1.5,.3,
3,2017,1,4,.2,0.7,0.2,.4,
4,2017,1,5,.3,.3,0.7,.3,
5,2017,1,6,.7,2.0,.6,.1,
6,2017,1,7,.3,.2,1.5,.8,
7,2017,1,8,.8,4.8,.0,.1,.0
8,2017,1,9,.3,.0,0.9,.5,.0
9,2017,1,10,0.5,.2,3.2,.1,
10,2017,1,11,3.1,.5,7.8,.1,.0
11,2017,1,12,0.3,.7,4.0,.9,.0
12,2017,1,13,3.7,.5,7.3,.1,.6
13,2017,1,14,6.0,2.8,8.7,.8,.0
14,2017,1,15,5.9,.0,11.8,.0,
15,2017,1,16,3.9,.7,10.1,.1,
16,2017,1,17,2.9,.3,8.6,.6,
17,2017,1,18,0.4,.1,4.7,.1,
18,2017,1,19,.0,.9,3.7,.5,
19,2017,1,20,2.3,0.5,5.2,.9,.4
20,2017,1,21,2.7,.4,8.6,.5,.2
21,2017,1,22,4.7,0.5,7.8,.1,.5
22,2017,1,23,6.5,1.4,10.0,.9,.0
23,2017,1,24,5.2,.1,10.7,.9,
24,2017,1,25,4.4,.3,10.6,.0,
25,2017,1,26,1.1,.5,9.5,.0,
26,2017,1,27,.6,.8,4.3,.3,.3
27,2017,1,28,.1,.9,7.6,.6,
28,2017,1,29,.8,.4,.9,0.0,.7
29,2017,1,30,2.4,.9,6.8,.6,.3
30,2017,1,31,4.2,.5,9.0,.8,
31,2017,2,1,2.3,.8,6.6,.9,.0
32,2017,2,2,1.6,.7,9.0,.1,
33,2017,2,3,.1,.6,3.2,.1,
34,2017,2,4,.9,.1,3.3,.1,.0
35,2017,2,5,.2,.5,.2,.8,.5
36,2017,2,6,.0,.8,3.2,.4,
37,2017,2,7,0.5,.8,4.7,.8,
38,2017,2,8,0.1,.2,4.1,.1,
39,2017,2,9,2.9,.6,5.1,.4,.1
40,2017,2,10,4.4,0.3,6.9,.5,.2
41,2017,2,11,2.9,.6,7.2,.4,.5
42,2017,2,12,0.3,.7,5.3,.0,
43,2017,2,13,.3,.0,5.8,.1,.6
44,2017,2,14,.6,.1,2.8,.5,
45,2017,2,15,.2,0.8,5.4,.0,
46,2017,2,16,.3,5.5,3.4,.9,.9
47,2017,2,17,.6,1.8,2.7,.4,.9
48,2017,2,18,1.0,.8,6.2,.0,
49,2017,2,19,.1,.2,4.9,.1,.5
50,2017,2,20,.3,.2,4.9,.3,5.3
51,2017,2,21,.6,.0,6.9,.8,
52,2017,2,22,.0,.1,.2,.9,7.5
53,2017,2,23,.5,.3,3.0,.6,
54,2017,2,24,.6,.9,5.4,.1,
55,2017,2,25,.5,0.0,2.7,.6,
56,2017,2,26,.0,0.5,0.8,.5,
57,2017,2,27,.2,2.0,2.5,.0,
58,2017,2,28,.3,4.0,2.7,.4,
59,2017,3,1,.1,2.8,.0,.4,.1
60,2017,3,2,.0,.3,1.0,.4,.0
61,2017,3,3,.2,2.5,3.6,.8,
62,2017,3,4,.1,5.1,1.2,.3,
63,2017,3,5,.3,4.6,.0,.3,
64,2017,3,6,.8,.7,1.6,.4,.0
65,2017,3,7,0.2,.0,2.6,.9,.2
66,2017,3,8,.4,.0,3.7,.3,.0
67,2017,3,9,.7,0.7,1.1,.9,
68,2017,3,10,.9,3.4,1.5,.1,
69,2017,3,11,.4,7.1,1.9,.0,
70,2017,3,12,.9,6.8,.3,.1,
71,2017,3,13,.0,3.8,.7,.0,
72,2017,3,14,.6,2.0,0.1,.0,
73,2017,3,15,.9,2.8,1.8,.5,
74,2017,3,16,.3,3.8,1.2,.0,
75,2017,3,17,.6,6.6,1.4,.1,
76,2017,3,18,.8,8.0,.9,.1,
77,2017,3,19,0.0,9.2,.7,.0,
78,2017,3,20,.6,3.6,.7,.0,.1
79,2017,3,21,.4,3.0,.9,.6,.0
80,2017,3,22,.6,4.6,.0,.0,
81,2017,3,23,.5,6.6,.0,.4,
82,2017,3,24,.0,5.6,.7,.0,
83,2017,3,25,.6,.9,.4,.9,.9
84,2017,3,26,.1,0.5,.6,.1,.0
85,2017,3,27,.4,1.1,.5,.4,.6
86,2017,3,28,.9,4.2,.9,.0,.2
87,2017,3,29,.7,6.8,.3,.0,.6
88,2017,3,30,1.2,9.5,.1,.4,
89,2017,3,31,0.0,4.6,.0,0.0,.9
90,2017,11,1,3.1,9.0,.3,.1,
91,2017,11,2,3.9,9.1,0.9,.4,
92,2017,11,3,1.3,7.6,.6,.0,.3
93,2017,11,4,.7,3.9,.2,.1,
94,2017,11,5,.3,4.7,.9,.0,
95,2017,11,6,.2,7.1,.7,.5,
96,2017,11,7,3.5,0.8,.6,.6,.0
97,2017,11,8,3.8,8.9,.0,.5,.7
98,2017,11,9,.7,6.8,.4,.0,
99,2017,11,10,.9,8.9,.4,.3,.1
100,2017,11,11,.0,2.1,.0,.0,
101,2017,11,12,.4,3.4,0.9,.9,
102,2017,11,13,.3,2.2,.7,.8,.0
103,2017,11,14,.8,3.9,.3,.5,.0
104,2017,11,15,.7,0.3,.5,.4,.0
105,2017,11,16,.6,.9,2.3,.0,
106,2017,11,17,.7,.4,2.5,.6,.1
107,2017,11,18,.9,.4,3.7,.5,.0
108,2017,11,19,0.4,.7,5.8,.4,
109,2017,11,20,.7,.1,2.0,.0,
110,2017,11,21,.5,.9,2.8,.0,
111,2017,11,22,.7,0.1,0.7,.9,.1
112,2017,11,23,.1,.0,2.4,.8,.1
113,2017,11,24,.9,.7,1.2,.1,.9
114,2017,11,25,.1,1.2,1.6,.8,
115,2017,11,26,.1,1.1,.1,.4,.8
116,2017,11,27,.1,0.4,2.4,.0,
117,2017,11,28,.8,2.8,.2,.4,.0
118,2017,11,29,.4,0.7,.7,.8,.0
119,2017,11,30,0.3,.0,3.8,.3,
120,2017,12,1,0.6,.4,6.5,.0,
121,2017,12,2,.0,.6,2.5,.9,
122,2017,12,3,.6,2.8,1.1,.5,.0
123,2017,12,4,.3,.9,2.5,.0,.0
124,2017,12,5,3.2,.8,7.6,.3,
125,2017,12,6,.5,.0,4.7,.3,.5
126,2017,12,7,.2,.5,0.5,.0,.0
127,2017,12,8,1.7,.6,4.1,.9,
128,2017,12,9,.2,.8,1.6,.6,.0
129,2017,12,10,.1,.1,1.0,.8,.0
130,2017,12,11,4.2,.0,8.2,.8,.6
131,2017,12,12,6.9,2.0,11.4,.3,
132,2017,12,13,5.9,.5,9.9,.0,
133,2017,12,14,4.9,.8,11.0,.8,
134,2017,12,15,1.3,.6,8.1,.4,
135,2017,12,16,2.1,.1,5.7,.6,.0
136,2017,12,17,5.1,.4,9.4,.8,
137,2017,12,18,.0,.0,6.4,.5,.0
138,2017,12,19,2.1,.6,5.7,.5,.5
139,2017,12,20,1.3,.6,8.3,.9,.8
140,2017,12,21,0.6,.5,3.9,.5,
141,2017,12,22,.9,.1,3.9,.3,
142,2017,12,23,.9,1.5,1.1,.9,
143,2017,12,24,.2,.0,.7,.4,1.4
144,2017,12,25,0.2,.2,2.8,.1,
145,2017,12,26,1.1,.4,5.1,.6,.3
146,2017,12,27,5.1,.5,9.0,.0,
147,2017,12,28,1.6,.0,6.9,.8,
148,2017,12,29,.9,.2,0.5,.9,.0
149,2017,12,30,.5,.6,.1,.6,.9
150,2017,12,31,.3,.6,2.2,.8,.5
151,2018,1,1,0.7,.9,5.3,.5,
152,2018,1,2,1.0,.1,4.7,.1,
153,2018,1,3,2.4,.7,6.0,.3,
154,2018,1,4,2.9,0.2,6.3,.8,
155,2018,1,5,0.9,.9,3.7,.1,
156,2018,1,6,0.7,.6,5.0,.0,
157,2018,1,7,1.4,.2,6.6,.9,
158,2018,1,8,.5,.6,0.1,.8,.6
159,2018,1,9,1.5,.7,3.6,.0,.5
160,2018,1,10,5.1,1.0,9.0,.3,.6
161,2018,1,11,9.3,4.9,12.6,.9,.0
162,2018,1,12,8.4,3.9,13.7,.5,.0
163,2018,1,13,2.2,.3,6.4,.5,.1
164,2018,1,14,0.4,.0,7.3,.6,
165,2018,1,15,.5,1.0,.8,.6,
166,2018,1,16,.6,.4,.2,.5,.1
167,2018,1,17,.2,.0,.5,.4,1.2
168,2018,1,18,.7,.1,0.1,.9,.0
169,2018,1,19,.3,.8,3.6,.4,
170,2018,1,20,.8,.9,4.8,.8,
171,2018,1,21,.1,.5,4.0,.8,
172,2018,1,22,.0,.3,0.4,.3,.8
173,2018,1,23,7.3,0.4,11.4,.3,.0
174,2018,1,24,11.7,7.2,15.4,.4,
175,2018,1,25,10.9,5.6,16.3,.6,
176,2018,1,26,11.8,5.1,16.2,.0,
177,2018,1,27,8.5,1.1,15.6,.8,
178,2018,1,28,3.5,.6,7.1,.9,
