,year,month,day,status
0,2017,1,1,박무 연무
1,2017,1,2,박무 연무
2,2017,1,3,박무 연무
3,2017,1,4,박무 연무
4,2017,1,5,박무 연무 햇무리
5,2017,1,6, 
6,2017,1,7,박무 연무
7,2017,1,8,비
8,2017,1,9,비 박무 연무
9,2017,1,10, 
10,2017,1,11,눈 박무
11,2017,1,12,눈 진눈깨비 박무 연무
12,2017,1,13,눈 박무
13,2017,1,14,소낙눈 박무
14,2017,1,15, 
15,2017,1,16, 
16,2017,1,17, 
17,2017,1,18,박무 연무
18,2017,1,19,안개 박무 연무 채운
19,2017,1,20,눈 박무 연무
20,2017,1,21,눈 박무
21,2017,1,22,눈 박무
22,2017,1,23,소낙눈 박무
23,2017,1,24,박무
24,2017,1,25,박무
25,2017,1,26,박무
26,2017,1,27,비 박무 황사
27,2017,1,28, 
28,2017,1,29, 
29,2017,1,30, 
30,2017,1,31, 
31,2017,2,1, 
32,2017,2,2, 
33,2017,2,3, 
34,2017,2,4, 
35,2017,2,5, 
36,2017,2,6, 
37,2017,2,7,소낙눈 박무
38,2017,2,8, 
39,2017,2,9,연무
40,2017,2,10,비 박무 연무
41,2017,2,11,비 박무 연무
42,2017,2,12,연무
43,2017,2,13, 
44,2017,2,14, 
45,2017,2,15,소낙눈 박무
46,2017,2,16,소낙눈 박무 연무
47,2017,2,17,소낙눈 박무
48,2017,2,18, 
49,2017,2,19,비 진눈깨비 박무
50,2017,2,20,안개 박무
51,2017,2,21,박무 연무
52,2017,2,22,비 박무 연무
53,2017,2,23,비 박무
54,2017,2,24, 
55,2017,2,25,비 박무
56,2017,2,26,비 박무 뇌전 천둥 번개
57,2017,2,27, 
58,2017,2,28,비 눈 진눈깨비 박무
59,2017,3,1, 
60,2017,3,2, 
61,2017,3,3, 
62,2017,3,4, 
63,2017,3,5, 
64,2017,3,6, 
65,2017,3,7,비 박무
66,2017,3,8,비 박무
67,2017,3,9, 
68,2017,3,10, 
69,2017,3,11,연무
70,2017,3,12,비 박무 연무
71,2017,3,13,눈 박무
72,2017,3,14,소낙눈 박무
73,2017,3,15,연무
74,2017,3,16, 
75,2017,3,17, 
76,2017,3,18,연무
77,2017,3,19,박무 연무
78,2017,3,20,박무 연무
79,2017,3,21, 
80,2017,3,22, 
81,2017,3,23, 
82,2017,3,24, 
83,2017,3,25,연무
84,2017,3,26,비 연무
85,2017,3,27,비 박무 연무
86,2017,3,28, 
87,2017,3,29, 
88,2017,3,30,연무 햇무리
89,2017,3,31,비 박무 연무
90,2017,11,1, 
91,2017,11,2, 
92,2017,11,3, 
93,2017,11,4, 
94,2017,11,5, 
95,2017,11,6, 
96,2017,11,7,박무
97,2017,11,8,박무 연무
98,2017,11,9,비 낮은안개 박무 연무
99,2017,11,10,박무 연무
100,2017,11,11,박무 연무
101,2017,11,12,박무 연무
102,2017,11,13,비 박무 연무
103,2017,11,14,비 박무 연무
104,2017,11,15, 
105,2017,11,16,비 박무
106,2017,11,17, 
107,2017,11,18,박무
108,2017,11,19,비 박무
109,2017,11,20,비 박무
110,2017,11,21,비
111,2017,11,22, 
112,2017,11,23,비 박무
113,2017,11,24,비 박무 연무
114,2017,11,25, 
115,2017,11,26,박무
116,2017,11,27,박무
117,2017,11,28,비 박무 연무 황사
118,2017,11,29,눈
119,2017,11,30,비 눈 박무
120,2017,12,1, 
121,2017,12,2, 
122,2017,12,3, 
123,2017,12,4, 
124,2017,12,5, 
125,2017,12,6, 
126,2017,12,7, 
127,2017,12,8, 
128,2017,12,9, 
129,2017,12,10, 
130,2017,12,11, 
131,2017,12,12, 
132,2017,12,13,비 박무 연무
133,2017,12,14,비 박무 연무
134,2017,12,15, 
135,2017,12,16,비 눈 박무
