상품군별,범위별,2017,2018,2019
합계,계,94185765,113314010,135264047
합계,종합몰,62950638,75731661,89072800
합계,전문몰,31235127,37582349,46191247
컴퓨터 및 주변기기,계,4953619,5248882,5754218
컴퓨터 및 주변기기,종합몰,3269929,3622800,3964003
컴퓨터 및 주변기기,전문몰,1683690,1626082,1790215
가전·전자·통신기기,계,9111713,11667365,14569980
가전·전자·통신기기,종합몰,8201070,10409515,12396567
가전·전자·통신기기,전문몰,910643,1257850,2173413
서적,계,1681876,1769397,1858712
서적,종합몰,474160,552506,607155
서적,전문몰,1207716,1216891,1251557
사무·문구,계,732944,838087,940958
사무·문구,종합몰,467513,549009,658546
사무·문구,전문몰,265431,289078,282412
의복,계,11875368,13198349,14496480
의복,종합몰,6745565,7459584,7911427
의복,전문몰,5129803,5738765,6585053
신발,계,1714217,1886640,2121112
신발,종합몰,1270238,1300763,1423158
신발,전문몰,443979,585877,697954
가방,계,1924482,2227209,2607223
가방,종합몰,1679709,1971531,2308226
가방,전문몰,244773,255678,298997
패션용품 및 액세서리,계,2028424,2336848,2539567
패션용품 및 액세서리,종합몰,1682164,1921509,2035574
패션용품 및 액세서리,전문몰,346260,415339,503993
스포츠·레저용품,계,3201612,3730505,4183288
스포츠·레저용품,종합몰,2648970,3119878,3411918
스포츠·레저용품,전문몰,552642,610627,771370
화장품,계,8117168,9852063,12382222
화장품,종합몰,6865667,8589340,11233560
화장품,전문몰,1251501,1262723,1148662
아동·유아용품,계,3387178,3615293,4005299
아동·유아용품,종합몰,3066504,3228319,3581275
아동·유아용품,전문몰,320674,386974,424024
음·식료품,계,7997022,10494433,13428726
음·식료품,종합몰,6484769,8511424,10953295
음·식료품,전문몰,1512253,1983009,2475431
농축수산물,계,2424587,2940514,3534203
농축수산물,종합몰,2057326,2534785,3021486
농축수산물,전문몰,367261,405729,512717
생활용품,계,7483561,8722825,10046116
생활용품,종합몰,6335989,7534169,8787710
생활용품,전문몰,1147572,1188656,1258406
자동차 및 자동차용품,계,1023240,1009861,1332395
자동차 및 자동차용품,종합몰,915738,920211,1150690
자동차 및 자동차용품,전문몰,107502,89650,181705
가구,계,2611894,3136269,3475590
가구,종합몰,2213289,2737079,3048618
가구,전문몰,398605,399190,426972
애완용품,계,736566,836052,923590
애완용품,종합몰,563290,673709,770522
애완용품,전문몰,173276,162343,153068
여행 및 교통서비스,계,14578350,16581414,17475901
여행 및 교통서비스,종합몰,3633877,4047198,4062272
여행 및 교통서비스,전문몰,10944473,12534216,13413629
문화 및 레저서비스,계,1819172,2125243,2212734
문화 및 레저서비스,종합몰,1053911,1137117,1057531
문화 및 레저서비스,전문몰,765261,988126,1155203
e쿠폰서비스,계,1201628,2108542,3323929
e쿠폰서비스,종합몰,1149333,2043040,3249804
e쿠폰서비스,전문몰,52295,65502,74125
음식서비스,계,2732568,5262777,9732842
음식서비스,종합몰,68676,62647,113411
음식서비스,전문몰,2663892,5200130,9619431
기타서비스,계,674880,859175,1154449
기타서비스,종합몰,295257,437139,709065
기타서비스,전문몰,379623,422036,445384
기타,계,2173707,2866265,3164517
기타,종합몰,1807694,2368389,2616987
기타,전문몰,366013,497876,547530
