행정구역별(시군구),연령별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년
전국,합계,1인가구,,5203440,5397615,5618677,5848594,6147516
전국,합계,남자,,2592963,2675861,2791849,2906320,3053733
전국,합계,여자,,2610477,2721754,2826828,2942274,3093783
전국,20세 미만,1인가구,,58020,62639,61058,58154,59415
전국,20세 미만,남자,,28049,30364,29108,27623,28591
전국,20세 미만,여자,,29971,32275,31950,30531,30824
전국,20~24,1인가구,,367152,391628,393503,402476,431750
전국,20~24,남자,,178691,188106,183578,183145,194984
전국,20~24,여자,,188461,203522,209925,219331,236766
전국,25~29,1인가구,,519871,537780,568288,617468,685831
전국,25~29,남자,,306068,315607,333886,359636,391896
전국,25~29,여자,,213803,222173,234402,257832,293935
전국,30~34,1인가구,,533193,519528,516827,522405,554883
전국,30~34,남자,,339405,331168,330699,333818,354068
전국,30~34,여자,,193788,188360,186128,188587,200815
전국,35~39,1인가구,,420129,429109,451634,470332,480733
전국,35~39,남자,,270828,276194,290387,303224,309622
전국,35~39,여자,,149301,152915,161247,167108,171111
전국,40~44,1인가구,,428605,408807,407777,400122,401653
전국,40~44,남자,,276970,262257,260789,255715,256199
전국,40~44,여자,,151635,146550,146988,144407,145454
전국,45~49,1인가구,,421153,434237,455033,464099,470000
전국,45~49,남자,,265048,269948,284359,290104,293435
전국,45~49,여자,,156105,164289,170674,173995,176565
전국,50~54,1인가구,,430941,430168,435035,450375,470795
전국,50~54,남자,,252254,253419,257573,268111,280831
전국,50~54,여자,,178687,176749,177462,182264,189964
전국,55~59,1인가구,,446608,481691,512691,524069,528252
전국,55~59,남자,,225431,245133,265621,274963,281601
전국,55~59,여자,,221177,236558,247070,249106,246651
전국,60~64,1인가구,,354599,407575,445869,494506,531357
전국,60~64,남자,,152163,178612,198975,225311,243206
전국,60~64,여자,,202436,228963,246894,269195,288151
전국,65~69,1인가구,,313584,335978,359563,375398,401256
전국,65~69,남자,,109375,119853,133121,141253,155021
전국,65~69,여자,,204209,216125,226442,234145,246235
전국,70~74,1인가구,,308780,310716,313648,330897,352769
전국,70~74,남자,,79259,83785,88332,97349,107749
전국,70~74,여자,,229521,226931,225316,233548,245020
전국,75~79,1인가구,,288138,304340,329899,340000,343332
전국,75~79,남자,,58136,63814,71059,74676,76987
전국,75~79,여자,,230002,240526,258840,265324,266345
전국,80~84,1인가구,,197240,215488,229716,246166,264647
전국,80~84,남자,,32640,37180,41382,45461,49786
전국,80~84,여자,,164600,178308,188334,200705,214861
전국,85세 이상,1인가구,,115427,127931,138136,152127,170843
전국,85세 이상,남자,,18646,20421,22980,25931,29757
전국,85세 이상,여자,,96781,107510,115156,126196,141086
서울특별시,합계,1인가구,,1115744,1138860,1180540,1229421,1299787
서울특별시,합계,남자,,544059,544607,561524,581944,611561
서울특별시,합계,여자,,571685,594253,619016,647477,688226
서울특별시,20세 미만,1인가구,,13721,14937,14190,14487,12806
서울특별시,20세 미만,남자,,5604,6174,5769,5629,5010
서울특별시,20세 미만,여자,,8117,8763,8421,8858,7796
서울특별시,20~24,1인가구,,93068,101069,103451,109213,116592
