사업장 일반폐기물 발생량 변화추이 (단위 : 톤/일 )
undefined,2008년,2008년,2008년,2008년,2009년,2009년,2009년,2009년,2010년,2010년,2010년,2010년,2011년,2011년,2011년,2011년,2012년,2012년,2012년,2012년,2013년,2013년,2013년,2013년,2014년,2014년,2014년,2014년,2015년,2015년,2015년,2015년,2016년,2016년,2016년,2016년,2017년,2017년,2017년,2017년,2018년,2018년,2018년,2018년,,
undefined,계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),계(톤/일),가연성(톤/일),불연성(톤/일),기타(톤/일),
전국,307224,32002,253001,22221,306955,31350,251655,23950,323169,32936,261516,28717,324378,33170,271525,19682,333019,34709,275861,22449,333353,38334,270402,24617,338571,37845,275629,25097,353565,42012,287767,23787,361573,41150,298200,22223,361136,42749,296227,22160,374678,43298,307838,23542,
서울,33495,2014,27895,3586,32449,2337,25817,4295,27925,2060,22162,3703,30023,1796,23924,4303,28654,1408,21840,5406,25915,1257,20108,4550,27586,1901,21435,4251,32272,1847,26373,4052,35510,1781,29752,3977,36676,1565,31534,3577,36696,1811,30546,4339,
부산,13258,1329,11218,711,12176,1103,10067,1006,12547,1346,10276,925,13431,1170,11419,841,12553,1095,10402,1056,12827,1074,10749,1004,13084,1135,11293,656,15328,1726,12987,615,15086,1785,12772,529,15576,1599,13289,688,16804,1494,14724,586,
대구,8631,1416,6374,841,8321,1376,6004,941,8871,1434,6484,953,9160,1551,6808,800,7578,1323,5883,372,8429,1389,6529,511,9223,1450,7303,470,9379,1315,7572,492,8611,1402,6779,430,8196,1369,6562,265,10129,1410,8322,397,
인천,19324,1197,16662,1465,23514,1412,20296,1806,19498,1294,15921,2283,19111,1547,16223,1342,15434,1245,12735,1454,17899,1372,14343,2184,17512,1413,14694,1405,19466,2105,15450,1912,23052,1889,19846,1317,20437,2256,16961,1220,23496,1712,20439,1345,
광주,3597,430,2555,612,3089,452,2372,265,3013,536,2228,249,4103,235,3534,333,4219,421,3424,374,4286,391,3389,506,4039,423,3166,449,3880,433,3012,436,4850,695,3780,375,5337,660,4202,475,5336,666,4090,580,
대전,7197,626,5804,767,6109,840,4754,515,5269,610,4193,467,6390,915,5056,418,4838,1044,3549,245,5177,1290,3546,341,4925,1084,3339,501,5999,1219,4433,347,5297,1192,3722,383,5553,1219,3907,427,6455,1173,4775,507,
울산,11817,1773,9777,267,9492,1668,7522,302,10840,1640,8585,615,11066,1992,8881,192,12669,2143,10379,147,10485,2007,8323,155,10493,1842,8437,214,10589,2079,8291,219,11157,1962,9011,184,10962,1772,8981,209,11185,2035,8806,344,
세종,,,,,,,,,,,,,,,,,1896,672,1024,200,3184,587,2148,449,3452,542,2221,690,2536,628,1653,255,2925,758,1933,234,3105,603,2228,274,2786,817,1697,272,
경기,48345,7035,34127,7183,51913,7249,36987,7677,55508,8737,37849,8921,52025,9249,37339,5437,57111,9605,39780,7726,57908,9784,38776,9348,62782,10489,41848,10445,66634,11515,45583,9536,65576,10915,44908,9753,64402,10925,43819,9658,69224,10767,48095,10362,
강원,11317,504,9951,862,13920,524,12440,956,13686,726,12290,670,11997,697,10615,685,13568,860,11974,734,13864,697,12378,789,14237,885,12766,586,13328,707,11829,793,13452,864,11968,620,12688,1045,11081,562,13314,958,11712,644,
충북,8978,2408,6057,513,11126,2853,7694,579,12856,2990,9186,681,12851,3003,9329,519,10888,2648,7742,498,14564,5338,8678,548,12459,2743,9182,534,14499,3679,10188,632,14539,3829,10252,458,14471,3852,9991,628,14699,4156,9974,569,
충남,32112,2409,28123,1580,27757,2370,23525,1862,32380,2788,27356,2236,37454,2470,33834,1150,43174,2498,39620,1056,42538,2293,39349,896,40689,2579,36732,1378,41259,2766,37499,994,48491,2933,44591,967,50320,3559,45611,1150,51369,3399,47117,853,
전북,15367,3580,10923,864,14109,3151,10138,820,14314,3075,10179,1059,14187,2982,10193,1012,14639,3301,10624,714,15264,3654,10903,707,16280,3846,11378,1055,15804,3783,11195,826,14412,3576,10176,660,15817,4070,10763,984,14682,3444,10314,924,
전남,33794,2097,30950,747,29421,1383,27308,730,35761,1414,32828,1519,37436,1292,35334,810,37775,1455,35582,738,31873,1538,29580,755,33407,1317,31265,824,32017,1469,29846,702,29236,1519,27209,508,29348,1966,26961,421,30942,1961,28587,394,
경북,33956,2204,30733,1019,36257,1890,33295,1072,40811,1868,37241,1702,38368,1970,35497,901,40170,2266,37069,835,38490,2526,35014,950,36700,2920,32909,870,37047,2637,33407,1004,36372,2700,32696,976,35671,3160,31811,700,34440,3774,29996,670,
경남,24045,2755,20136,1154,24602,2615,20911,1076,26627,2363,21682,2582,23392,2158,20452,782,24734,2604,21287,843,27840,3019,24032,789,28813,3144,25013,656,30560,3826,25849,885,29208,3048,25474,686,28940,2881,25247,812,29618,3423,25553,642,
제주,1991,225,1716,50,2700,127,2525,48,3262,56,3055,152,3384,143,3085,157,3119,121,2946,52,2810,118,2557,135,2894,133,2647,113,2968,278,2601,89,3799,302,3331,166,3637,248,3279,110,3503,298,3091,114,
