"상품군별","판매매체별",2020. 02,2020. 03,2020. 04,2020. 05,2020. 06 p),2020. 07 p)
"합계","계",11963252,12624728,12065537,12742648,12684409,12962537
"합계","인터넷쇼핑",3850850,4138678,4023773,4056283,4192430,4179253
"합계","모바일쇼핑",8112402,8486051,8041765,8686365,8491978,8783284
"컴퓨터 및 주변기기","계",616468,687759,645276,590327,535105,608869
"컴퓨터 및 주변기기","인터넷쇼핑",341426,387538,364862,349022,322247,367476
"컴퓨터 및 주변기기","모바일쇼핑",275042,300221,280414,241305,212858,241392
"가전·전자·통신기기","계",1392368,1480356,1382427,1597151,1566781,1440539
"가전·전자·통신기기","인터넷쇼핑",563716,598541,578468,619027,603684,559150
"가전·전자·통신기기","모바일쇼핑",828652,881815,803959,978124,963098,881389
"서적","계",191346,255531,206282,170715,171513,188848
"서적","인터넷쇼핑",102463,135530,107760,92948,91928,100232
"서적","모바일쇼핑",88883,120001,98522,77767,79585,88616
"사무·문구","계",92639,92892,85429,85990,83761,88281
"사무·문구","인터넷쇼핑",42395,40492,37942,37566,38542,40366
"사무·문구","모바일쇼핑",50244,52399,47487,48424,45219,47915
"의복","계",953547,1190084,1182708,1367346,1349660,1118696
"의복","인터넷쇼핑",329569,401539,416089,467739,466844,392241
"의복","모바일쇼핑",623978,788545,766618,899607,882816,726455
"신발","계",164012,190802,193448,246172,251157,219901
"신발","인터넷쇼핑",48469,56286,60273,72389,78946,71028
"신발","모바일쇼핑",115543,134516,133175,173783,172212,148873
"가방","계",202851,213769,193228,219456,234066,233145
"가방","인터넷쇼핑",46011,44769,43266,45831,47837,49081
"가방","모바일쇼핑",156840,168999,149962,173625,186229,184065
"패션용품 및 액세서리","계",182527,183647,168913,193233,191418,207444
"패션용품 및 액세서리","인터넷쇼핑",54059,55639,53381,59229,56015,63473
"패션용품 및 액세서리","모바일쇼핑",128468,128008,115532,134004,135403,143970
"스포츠·레저용품","계",293888,365265,432019,489149,487014,506020
"스포츠·레저용품","인터넷쇼핑",117446,135612,161454,177351,177512,184043
"스포츠·레저용품","모바일쇼핑",176442,229654,270565,311798,309502,321978
"화장품","계",1049681,981864,961302,934081,984010,1005459
"화장품","인터넷쇼핑",429543,532733,594949,524094,568552,600677
"화장품","모바일쇼핑",620138,449132,366354,409988,415458,404782
"아동·유아용품","계",394738,415830,409942,412804,379138,386121
"아동·유아용품","인터넷쇼핑",86034,88979,98367,90968,85779,88298
"아동·유아용품","모바일쇼핑",308704,326851,311575,321836,293359,297823
"음·식료품","계",1481513,1631491,1520093,1477572,1450197,1598679
"음·식료품","인터넷쇼핑",411253,442142,422759,395190,410042,444190
"음·식료품","모바일쇼핑",1070260,1189348,1097334,1082382,1040155,1154489
"농축수산물","계",448870,517150,468172,416900,414963,462137
"농축수산물","인터넷쇼핑",136818,137870,142339,111239,126962,150199
"농축수산물","모바일쇼핑",312052,379280,325833,305661,288001,311939
"생활용품","계",1134360,1245446,1091464,1160123,1175177,1220141
"생활용품","인터넷쇼핑",332254,364418,344137,354416,361928,358334
"생활용품","모바일쇼핑",802106,881028,747327,805707,813249,861808
"자동차 및 자동차용품","계",160198,210549,132380,142250,259708,156969
"자동차 및 자동차용품","인터넷쇼핑",82482,123450,48392,48621,164635,54794
"자동차 및 자동차용품","모바일쇼핑",77716,87099,83988,93629,95073,102175
"가구","계",364194,435242,405815,403437,400227,385579
"가구","인터넷쇼핑",113379,128858,123265,121422,121544,118973
"가구","모바일쇼핑",250815,306384,282550,282015,278683,266605
"애완용품","계",85229,91557,90325,90436,87958,96072
"애완용품","인터넷쇼핑",20800,23381,22809,21906,21631,22637
"애완용품","모바일쇼핑",64429,68177,67515,68530,66327,73434
"여행 및 교통서비스","계",710501,363297,440571,557450,598033,777926
"여행 및 교통서비스","인터넷쇼핑",248663,106951,99397,124876,141461,174644
"여행 및 교통서비스","모바일쇼핑",461838,256346,341174,432574,456572,603282
"문화 및 레저서비스","계",58635,20141,25643,48720,43239,62969
"문화 및 레저서비스","인터넷쇼핑",23570,6997,9860,17703,15789,24102
"문화 및 레저서비스","모바일쇼핑",35066,13144,15784,31018,27451,38867
"e쿠폰서비스","계",324109,348562,334079,339657,309219,332111
"e쿠폰서비스","인터넷쇼핑",34330,47467,38475,43617,40790,59286
"e쿠폰서비스","모바일쇼핑",289779,301095,295604,296040,268429,272825
"음식서비스","계",1135018,1251923,1263018,1320396,1252411,1378014
"음식서비스","인터넷쇼핑",63931,66117,72737,83178,63758,68431
"음식서비스","모바일쇼핑",1071088,1185806,1190281,1237218,1188653,1309583
"기타서비스","계",145624,64542,114533,89886,94271,99310
"기타서비스","인터넷쇼핑",59394,27840,45916,35082,39688,38085
"기타서비스","모바일쇼핑",86230,36702,68617,54803,54583,61225
"기타","계",380936,387031,318471,389398,365383,389308
"기타","인터넷쇼핑",162845,185529,136878,162870,146319,149514
"기타","모바일쇼핑",218091,201502,181594,226529,219064,239794
